,Regulatory Cluster label,Cell type,p-value,odds-ratio,genes in cell type and cluster,genes in cluster but not cell type,genes in cell type but not cluster,genes not in cell type or cluster,gene_ids,gene_names,p.adj
81,TPDS (+),CD45- Myofibroblast,0.0004741781551335441,3.8472222222222223,15,20,54,277,ENSG00000175745 ENSG00000072954 ENSG00000085276 ENSG00000144366 ENSG00000115896 ENSG00000153707 ENSG00000175600 ENSG00000123094 ENSG00000008311 ENSG00000099864 ENSG00000100116 ENSG00000165795 ENSG00000165959 ENSG00000138759 ENSG00000119673,NR2F1 TMEM38A MECOM GULP1 PLCL1 PTPRD SUGCT RASSF8 AASS PALM GCAT NDRG2 CLMN FRAS1 ACOT2,0.005186104916134333
82,TPDS (+),CD45- PAX8+ renal epithelium,0.2463271410253962,1.3582150101419879,18,17,145,186,ENSG00000100024 ENSG00000103316 ENSG00000072954 ENSG00000085276 ENSG00000144366 ENSG00000153707 ENSG00000123094 ENSG00000175600 ENSG00000008311 ENSG00000099864 ENSG00000100116 ENSG00000165959 ENSG00000138356 ENSG00000165376 ENSG00000072415 ENSG00000138759 ENSG00000164237 ENSG00000250799,UPB1 CRYM TMEM38A MECOM GULP1 PTPRD RASSF8 SUGCT AASS PALM GCAT CLMN AOX1 CLDN2 PALS1 FRAS1 CMBL PRODH2,0.4778746535892687
83,TPDS (+),CD45- Vascular Endothelium,0.07565282525582794,1.912109375,11,24,64,267,ENSG00000175745 ENSG00000072954 ENSG00000085276 ENSG00000069702 ENSG00000144366 ENSG00000176533 ENSG00000123094 ENSG00000008311 ENSG00000099864 ENSG00000165795 ENSG00000072415,NR2F1 TMEM38A MECOM TGFBR3 GULP1 GNG7 RASSF8 AASS PALM NDRG2 PALS1,0.20966640142329457
84,TPDS (+),CD45- ccRCC CA9+,0.1520883558828784,1.5402609086819614,16,19,117,214,ENSG00000175745 ENSG00000103316 ENSG00000144366 ENSG00000153707 ENSG00000123094 ENSG00000175600 ENSG00000008311 ENSG00000099864 ENSG00000100116 ENSG00000165959 ENSG00000138356 ENSG00000165376 ENSG00000072415 ENSG00000138759 ENSG00000164237 ENSG00000119673,NR2F1 CRYM GULP1 PTPRD RASSF8 SUGCT AASS PALM GCAT CLMN AOX1 CLDN2 PALS1 FRAS1 CMBL ACOT2,0.34308303536370244
85,TPDS (+),TAM ISGhi,0.3178244862268431,1.2974358974358975,10,25,78,253,ENSG00000175745 ENSG00000085276 ENSG00000144366 ENSG00000176533 ENSG00000115896 ENSG00000123094 ENSG00000099864 ENSG00000165795 ENSG00000165959 ENSG00000138759,NR2F1 MECOM GULP1 GNG7 PLCL1 RASSF8 PALM NDRG2 CLMN FRAS1,0.5495404559713937
86,TPDS (+),TAM ISGint,0.1564494110461851,1.7682926829268293,7,28,41,290,ENSG00000175745 ENSG00000085276 ENSG00000144366 ENSG00000008311 ENSG00000165795 ENSG00000165959 ENSG00000138759,NR2F1 MECOM GULP1 AASS NDRG2 CLMN FRAS1,0.34333804381263255
87,TPDS (-),CD4+ Proliferating,0.23009769052282686,1.608534322820037,6,49,22,289,ENSG00000135069 ENSG00000128578 ENSG00000156709 ENSG00000183048 ENSG00000005022 ENSG00000181061,PSAT1 STRIP2 AIFM1 SLC25A10 SLC25A5 HIGD1A,0.46498908293154595
88,TPDS (-),CD45- Myofibroblast,0.9905088792737552,0.3859375,5,50,64,247,ENSG00000070087 ENSG00000181291 ENSG00000167608 ENSG00000211445 ENSG00000181061,PFN2 TMEM132E TMC4 GPX3 HIGD1A,0.99999105826547
89,TPDS (-),CD45- PAX8+ renal epithelium,1.767675288903798e-05,3.675907258064516,39,16,124,187,ENSG00000135447 ENSG00000104892 ENSG00000127884 ENSG00000173898 ENSG00000211452 ENSG00000211445 ENSG00000243989 ENSG00000184434 ENSG00000070087 ENSG00000156709 ENSG00000162896 ENSG00000186115 ENSG00000140832 ENSG00000009765 ENSG00000132361 ENSG00000204385 ENSG00000111110 ENSG00000105519 ENSG00000181291 ENSG00000130529 ENSG00000136463 ENSG00000170482 ENSG00000186529 ENSG00000144040 ENSG00000147676 ENSG00000185813 ENSG00000132855 ENSG00000135069 ENSG00000140263 ENSG00000180432 ENSG00000096696 ENSG00000158296 ENSG00000086991 ENSG00000171433 ENSG00000167608 ENSG00000183048 ENSG00000154277 ENSG00000118514 ENSG00000139410,PPP1R1A KLC3 ECHS1 SPTBN2 DIO1 GPX3 ACY1 LRRC19 PFN2 AIFM1 PIGR CYP4F2 MARVELD3 IYD CLUH SLC44A4 PPM1H CAPS TMEM132E TRPM4 TACO1 SLC23A1 CYP4F3 SFXN5 MAL2 PCYT2 ANGPTL3 PSAT1 SORD CYP8B1 DSP SLC13A3 NOX4 GLOD5 TMC4 SLC25A10 UCHL1 ALDH8A1 SDSL,0.00034292900604733685
90,TPDS (-),CD45- Vascular Endothelium,0.9864181855290055,0.42945874001774625,6,49,69,242,ENSG00000204385 ENSG00000130529 ENSG00000086991 ENSG00000197705 ENSG00000211445 ENSG00000135540,SLC44A4 TRPM4 NOX4 KLHL14 GPX3 NHSL1,0.99999105826547
91,TPDS (-),CD45- ccRCC CA9+,0.32002963365101483,1.2012012012012012,22,33,111,200,ENSG00000104892 ENSG00000117594 ENSG00000127884 ENSG00000173898 ENSG00000070087 ENSG00000186115 ENSG00000132361 ENSG00000111110 ENSG00000105519 ENSG00000181291 ENSG00000130529 ENSG00000186529 ENSG00000147676 ENSG00000135540 ENSG00000135069 ENSG00000140263 ENSG00000096696 ENSG00000158296 ENSG00000086991 ENSG00000167608 ENSG00000137267 ENSG00000154277,KLC3 HSD11B1 ECHS1 SPTBN2 PFN2 CYP4F2 CLUH PPM1H CAPS TMEM132E TRPM4 CYP4F3 MAL2 NHSL1 PSAT1 SORD DSP SLC13A3 NOX4 TMC4 TUBB2A UCHL1,0.5495404559713937
92,TPDS (-),TAM HLAhi,0.9455788114502935,0.522,5,50,50,261,ENSG00000111110 ENSG00000130529 ENSG00000184988 ENSG00000135540 ENSG00000139410,PPM1H TRPM4 TMEM106A NHSL1 SDSL,0.99999105826547
93,TPDS (-),TAM HLAint,0.6837499699653502,0.871875,5,50,32,279,ENSG00000111110 ENSG00000130529 ENSG00000184988 ENSG00000135540 ENSG00000139410,PPM1H TRPM4 TMEM106A NHSL1 SDSL,0.9164909123114091
94,TPDS (-),TAM ISGhi,0.9994237177872506,0.2746987951807229,5,50,83,228,ENSG00000111110 ENSG00000130529 ENSG00000086991 ENSG00000135540 ENSG00000139410,PPM1H TRPM4 NOX4 NHSL1 SDSL,0.99999105826547
95,TPDS (-),TAM/TCR (Ambiguos),0.6902869124310607,0.8597285067873304,4,51,26,285,ENSG00000130529 ENSG00000135540 ENSG00000184988 ENSG00000139410,TRPM4 NHSL1 TMEM106A SDSL,0.9164909123114091
96,TPDS (-),pDC,0.7645717074059263,0.7626774847870182,4,51,29,282,ENSG00000181061 ENSG00000005022 ENSG00000168924 ENSG00000114054,HIGD1A SLC25A5 LETM1 PCCB,0.9508135335689083
